   0.105431289E-03   0.138685526E-01  -0.108748713E-10   0.000000000E+00
   0.111528418E-03   0.135643026E-01   0.168153481E-02   0.977705713E-05
   0.128422471E-03   0.126992445E-01   0.315127871E-02   0.364148109E-04
   0.151394575E-03   0.114157340E-01   0.425330037E-02   0.727516381E-04
   0.174707908E-03   0.989408977E-02   0.491761463E-02   0.110369765E-03
   0.193147323E-03   0.829841569E-02   0.515790004E-02   0.142214485E-03
   0.202980780E-03   0.676225778E-02   0.504414877E-02   0.163496210E-03
   0.202358366E-03   0.537016522E-02   0.466516986E-02   0.172748129E-03
   0.191350991E-03   0.416210294E-02   0.411086297E-02   0.170854692E-03
   0.172285087E-03   0.315011991E-02   0.347459433E-02   0.159513103E-03
   0.147373154E-03   0.232201931E-02   0.281197345E-02   0.142135556E-03
   0.118802935E-03   0.165346393E-02   0.215777801E-02   0.118159667E-03
   0.912713804E-04   0.114194083E-02   0.158821291E-02   0.935053467E-04
   0.657482815E-04   0.753980072E-03   0.109896762E-02   0.690709858E-04
   0.446831582E-04   0.474802713E-03   0.717660587E-03   0.479738883E-04
   0.278674070E-04   0.278784020E-03   0.427199731E-03   0.300301017E-04
   0.157431405E-04   0.150721724E-03   0.226975913E-03   0.165878591E-04
   0.817396904E-05   0.757459056E-04   0.108433000E-03   0.811875179E-05
   0.346926390E-05   0.332502532E-04   0.387253604E-04   0.279662504E-05
   0.119714832E-05   0.140213615E-04   0.893981633E-05   0.501325530E-06
   0.333520973E-06   0.745692705E-05   0.961579190E-06  -0.113404681E-07
   0.216085056E-06   0.640814187E-05   0.298644795E-05   0.316196065E-06
   0.339689848E-06   0.775373337E-05   0.805621403E-05   0.995673645E-06
   0.501074453E-06   0.862413708E-05   0.119159840E-04   0.148612878E-05
   0.541448514E-06   0.787689441E-05   0.123420486E-04   0.152660084E-05
   0.507808238E-06   0.676990567E-05   0.113053566E-04   0.143759326E-05
   0.392146376E-06   0.503975934E-05   0.884178644E-05   0.118218156E-05
