#theta_nq = 25 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03189  0.00000   0.00000   0.00000  16.17150   16.17150
0.06076  0.00000   0.00000   0.00000  5.29500   5.29500
0.09785  0.00000   0.00000   0.00000  3.61410   3.61410
0.13653  0.00000   0.00000   0.00000  3.87830   3.87830
0.17555  0.00000   0.00000   0.00000  6.10280   6.10280
0.21487  0.00000   0.00000   0.00000  12.57660   12.57660
0.25044  0.00000   0.00000   0.00000  34.06420   34.06420
0.28333  0.00000   0.00000   0.00000  78.57690   78.57690
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
0.46283  0.00000   0.00000   0.00000  45.02680   45.02680
0.50110  0.00000   0.00000   0.00000  38.28020   38.28020
0.54045  0.00000   0.00000   0.00000  31.41170   31.41170
0.57996  0.00000   0.00000   0.00000  27.92300   27.92300
0.62095  0.00000   0.00000   0.00000  34.37840   34.37840
0.65912  0.00000   0.00000   0.00000  28.70110   28.70110
0.70061  0.00000   0.00000   0.00000  54.00330   54.00330
0.73938  0.00000   0.00000   0.00000  38.28590   38.28590
0.77902  0.00000   0.00000   0.00000  56.99180   56.99180
0.81834  0.00000   0.00000   0.00000  58.01400   58.01400
0.85951  0.00000   0.00000   0.00000  52.28130   52.28130
0.89662  0.00000   0.00000   0.00000  49.96280   49.96280
0.93867  0.00000   0.00000   0.00000  63.09470   63.09470
0.97779  0.00000   0.00000   0.00000  45.05880   45.05880
1.01830  0.00000   0.00000   0.00000  57.78640   57.78640
1.05636  0.00000   0.00000   0.00000  84.52730   84.52730
nan  0.00000   0.00000   0.00000  nan   0.00000
1.13675  0.00000   0.00000   0.00000  100.06530   100.06530
1.17599  0.00000   0.00000   0.00000  100.11330   100.11330
