#theta_nq = 45 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03255  0.00000   0.00000   0.00000  13.49090   13.49090
0.06158  0.00000   0.00000   0.00000  4.33040   4.33040
0.09858  0.00000   0.00000   0.00000  3.08930   3.08930
0.13682  0.00000   0.00000   0.00000  3.14470   3.14470
0.17633  0.00000   0.00000   0.00000  4.64340   4.64340
0.21654  0.00000   0.00000   0.00000  9.17440   9.17440
0.25665  0.00000   0.00000   0.00000  15.96370   15.96370
0.29650  0.00000   0.00000   0.00000  30.74670   30.74670
0.33520  0.00000   0.00000   0.00000  70.94270   70.94270
0.37509  0.00000   0.00000   0.00000  100.59440   100.59440
nan  0.00000   0.00000   0.00000  nan   0.00000
0.46883  0.00000   0.00000   0.00000  64.95680   64.95680
0.50436  0.00000   0.00000   0.00000  22.31190   22.31190
0.54205  0.00000   0.00000   0.00000  17.85340   17.85340
0.58105  0.00000   0.00000   0.00000  11.86080   11.86080
0.62493  0.00000   0.00000   0.00000  10.09080   10.09080
0.66221  0.00000   0.00000   0.00000  9.02830   9.02830
0.70104  0.00000   0.00000   0.00000  8.58570   8.58570
0.74186  0.00000   0.00000   0.00000  9.23310   9.23310
0.78094  0.00000   0.00000   0.00000  8.74440   8.74440
0.82016  0.00000   0.00000   0.00000  8.87150   8.87150
0.85979  0.00000   0.00000   0.00000  8.84480   8.84480
0.89940  0.00000   0.00000   0.00000  8.81140   8.81140
0.93903  0.00000   0.00000   0.00000  8.37360   8.37360
0.97880  0.00000   0.00000   0.00000  9.17840   9.17840
1.01865  0.00000   0.00000   0.00000  10.48630   10.48630
1.05836  0.00000   0.00000   0.00000  9.07720   9.07720
1.09821  0.00000   0.00000   0.00000  10.28870   10.28870
1.13789  0.00000   0.00000   0.00000  9.76920   9.76920
1.17781  0.00000   0.00000   0.00000  12.78620   12.78620
