#theta_nq = 15 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03123  0.00000   0.00000   0.00000  20.54550   20.54550
0.06173  0.00000   0.00000   0.00000  6.32140   6.32140
0.09744  0.00000   0.00000   0.00000  4.49860   4.49860
0.13592  0.00000   0.00000   0.00000  4.99390   4.99390
0.17464  0.00000   0.00000   0.00000  8.15350   8.15350
0.21230  0.00000   0.00000   0.00000  20.87840   20.87840
0.24384  0.00000   0.00000   0.00000  47.39650   47.39650
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
0.62048  0.00000   0.00000   0.00000  100.48270   100.48270
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
