#theta_nq = 65 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03070  0.00000   0.00000   0.00000  16.10820   16.10820
0.06203  0.00000   0.00000   0.00000  4.73350   4.73350
0.09875  0.00000   0.00000   0.00000  2.99250   2.99250
0.13769  0.00000   0.00000   0.00000  2.83260   2.83260
0.17737  0.00000   0.00000   0.00000  3.74060   3.74060
0.21736  0.00000   0.00000   0.00000  6.60720   6.60720
0.25805  0.00000   0.00000   0.00000  11.76460   11.76460
0.29869  0.00000   0.00000   0.00000  15.41770   15.41770
0.33915  0.00000   0.00000   0.00000  18.23270   18.23270
0.37940  0.00000   0.00000   0.00000  26.80370   26.80370
0.41942  0.00000   0.00000   0.00000  26.58380   26.58380
0.45904  0.00000   0.00000   0.00000  33.59800   33.59800
0.49884  0.00000   0.00000   0.00000  32.12340   32.12340
0.53807  0.00000   0.00000   0.00000  35.55910   35.55910
0.57698  0.00000   0.00000   0.00000  35.56780   35.56780
0.61591  0.00000   0.00000   0.00000  100.18080   100.18080
0.65637  0.00000   0.00000   0.00000  100.34430   100.34430
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
