#theta_nq = 75 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03105  0.00000   0.00000   0.00000  17.72350   17.72350
0.06156  0.00000   0.00000   0.00000  5.38860   5.38860
0.09904  0.00000   0.00000   0.00000  3.26980   3.26980
0.13797  0.00000   0.00000   0.00000  2.91480   2.91480
0.17756  0.00000   0.00000   0.00000  3.71780   3.71780
0.21770  0.00000   0.00000   0.00000  10.71580   10.71580
0.25842  0.00000   0.00000   0.00000  11.97440   11.97440
0.29974  0.00000   0.00000   0.00000  19.28220   19.28220
0.34025  0.00000   0.00000   0.00000  14.53530   14.53530
0.37997  0.00000   0.00000   0.00000  16.86740   16.86740
0.41974  0.00000   0.00000   0.00000  12.94620   12.94620
0.45938  0.00000   0.00000   0.00000  17.25640   17.25640
0.49893  0.00000   0.00000   0.00000  19.31390   19.31390
0.53853  0.00000   0.00000   0.00000  23.26650   23.26650
0.57793  0.00000   0.00000   0.00000  31.52600   31.52600
0.61724  0.00000   0.00000   0.00000  38.31160   38.31160
0.65647  0.00000   0.00000   0.00000  60.98110   60.98110
0.69622  0.00000   0.00000   0.00000  84.55960   84.55960
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
