#theta_nq = 35 +/- 5 deg :: All errors are relative, dsig / sig [%] 
#!pm_avg[f,0]/   kin_syst[f,1]/   norm_syst[f,2]/   tot_syst[f,3]/   tot_stats[f,4]/   tot_err[f,5]/
0.03195  0.00000   0.00000   0.00000  14.57150   14.57150
0.06195  0.00000   0.00000   0.00000  4.58420   4.58420
0.09763  0.00000   0.00000   0.00000  3.22110   3.22110
0.13660  0.00000   0.00000   0.00000  3.44060   3.44060
0.17634  0.00000   0.00000   0.00000  5.39900   5.39900
0.21622  0.00000   0.00000   0.00000  9.26060   9.26060
0.25483  0.00000   0.00000   0.00000  21.64230   21.64230
0.29180  0.00000   0.00000   0.00000  59.99240   59.99240
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
nan  0.00000   0.00000   0.00000  nan   0.00000
0.46509  0.00000   0.00000   0.00000  30.59470   30.59470
0.50192  0.00000   0.00000   0.00000  17.01910   17.01910
0.54055  0.00000   0.00000   0.00000  14.06860   14.06860
0.58573  0.00000   0.00000   0.00000  12.63880   12.63880
0.62212  0.00000   0.00000   0.00000  14.42840   14.42840
0.66079  0.00000   0.00000   0.00000  11.49590   11.49590
0.70131  0.00000   0.00000   0.00000  12.68220   12.68220
0.74025  0.00000   0.00000   0.00000  12.48760   12.48760
0.77956  0.00000   0.00000   0.00000  12.63270   12.63270
0.81913  0.00000   0.00000   0.00000  12.67520   12.67520
0.85881  0.00000   0.00000   0.00000  11.75930   11.75930
0.89849  0.00000   0.00000   0.00000  12.67880   12.67880
0.93821  0.00000   0.00000   0.00000  12.65160   12.65160
0.97800  0.00000   0.00000   0.00000  12.84270   12.84270
1.01780  0.00000   0.00000   0.00000  14.66140   14.66140
1.05838  0.00000   0.00000   0.00000  16.28510   16.28510
1.09721  0.00000   0.00000   0.00000  19.22890   19.22890
1.13807  0.00000   0.00000   0.00000  17.43440   17.43440
1.17799  0.00000   0.00000   0.00000  19.70550   19.70550
